site_id,lon,lat
0,174.82110,-41.16430
1,174.72530,-41.28380
2,174.78860,-41.25260
3,174.80280,-41.24950
4,174.76870,-41.28250
5,174.77380,-41.32330
6,174.79240,-41.30910
7,174.78440,-41.32050
8,174.78910,-41.32430
9,174.82330,-41.30600
10,174.82330,-41.31460
11,174.81420,-41.32070
12,174.80140,-41.32100
13,174.76760,-41.28910
14,174.83380,-41.15670
15,174.81690,-41.18150
16,174.81980,-41.21670
17,174.82720,-41.17400
18,174.83900,-41.17730
19,174.81220,-41.19640
20,174.80700,-41.21090
21,174.77570,-41.28490
22,174.79380,-41.22310
23,174.82540,-41.20470
24,174.80310,-41.21820
25,174.77160,-41.24640
26,174.80760,-41.22460
27,174.79330,-41.23510
28,174.77180,-41.30330
29,174.76180,-41.25750
30,174.80210,-41.23100
31,174.78550,-41.24350
32,174.82050,-41.22480
33,174.77600,-41.25320
34,174.82120,-41.23450
35,174.83460,-41.21620
36,174.74440,-41.27760
37,174.79690,-41.24460
38,174.76020,-41.27010
39,174.77570,-41.26220
40,174.73250,-41.29060
41,174.74740,-41.28700
42,174.76020,-41.27910
43,174.78430,-41.26960
44,174.78010,-41.29690
45,174.77420,-41.27250
46,174.76050,-41.28800
47,174.75990,-41.29570
48,174.75590,-41.30430
49,174.77470,-41.29100
50,174.77280,-41.29470
51,174.78280,-41.29210
52,174.76590,-41.30790
53,174.75650,-41.31690
54,174.79290,-41.29190
55,174.77750,-41.30250
56,174.78760,-41.29880
57,174.80080,-41.29230
58,174.75810,-41.33150
59,174.76580,-41.31950
60,174.78320,-41.30900
61,174.77610,-41.31290
62,174.79630,-41.30160
63,174.80040,-41.30500
64,174.79420,-41.31680
65,174.82450,-41.29710
66,174.76910,-41.33750
67,174.77590,-41.33670
68,174.79420,-41.32710
69,174.81760,-41.31290
70,174.78080,-41.33780
71,174.82980,-41.30930
72,174.78740,-41.33780
73,174.80970,-41.33080
74,174.82050,-41.33160
75,174.83290,-41.32780
